PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,GameDate,pitcher_cape_team
277.0,2025-02-16,15:44:25.82,4.0,1.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Morales, Efrain",1000115748.0,Right,OLD_MON,Undefined,8,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.44267,-0.990215,-2.468918,2456.277685,105.82306,9:30,5.75496,1.1497,5.68838,-38.16545,5.47973,-13.33572,1.65064,-2.26415,73.11984,-8.04665,-4.850831,0.475488,,,,,,,,,,,,5.86118,3.6428,-0.93358,50.0,5.64827,5.62059,-117.84752,-3.28574,8.0089,28.31186,-27.19641,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,ced5a950-eca6-11ef-9d96-6b412e18465d,79.27107,,,8.32283,,,,,,,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:44:25.82,2025-02-16 20:44:25.829171200+00:00,2025-02-16 20:44:25.829171200+00:00,,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,e51eb3e8-c677-49ed-8641-affeac7dc869,54.80647,-118.99663,14.15593,5.75923,-2.18191,-13.5982,-1.15511,5.29553,4.00445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-17,Yarmouth-Dennis
278.0,2025-02-16,15:44:44.55,4.0,2.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Morales, Efrain",1000115748.0,Right,OLD_MON,Undefined,8,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.70838,-0.802451,-2.061437,2579.14635,68.507872,8:15,5.97755,0.94829,5.48,-50.79172,-4.86063,-15.93099,0.99355,-2.30894,72.73078,-9.991733,-4.902272,0.487781,,,,,,,,,,,,7.49477,-1.84528,-0.75611,50.0,5.87231,4.72316,-114.26519,-3.32048,9.86737,21.8786,-34.60346,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,da010180-eca6-11ef-9d96-6b412e18465d,77.27329,,,5.9776,,,,,,,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:44:44.55,2025-02-16 20:44:44.559718400+00:00,2025-02-16 20:44:44.559718400+00:00,,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,ec1ca9c3-0baf-4768-bccb-211443375df9,55.02179,-115.22271,10.9393,5.98449,-1.80606,-17.30173,-0.95337,4.29132,4.93368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-17,Yarmouth-Dennis
279.0,2025-02-16,15:45:00.42,4.0,3.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Morales, Efrain",1000115748.0,Right,OLD_MON,Undefined,8,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.40674,-1.438235,-3.437627,2425.975858,208.662175,1:00,6.10218,0.7403,6.2491,-14.45083,19.52505,10.0476,3.56886,-1.59655,82.09489,-4.240159,-1.626979,0.419524,,,,,,,,,,,,-6.18548,10.86253,-0.48911,50.0,5.98768,7.45415,-131.08175,-3.65367,-10.70531,29.07339,-13.37408,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,e3677830-eca6-11ef-9d96-6b412e18465d,89.8457,,,8.31185,,,,,,,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:45:00.42,2025-02-16 20:45:00.421324800+00:00,2025-02-16 20:45:00.421324800+00:00,,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,26c366f5-23bc-4c97-8493-7d0b61c092ad,54.24758,-132.02049,14.53669,6.09868,-3.22184,-6.68704,-0.73538,7.79981,-5.35265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-17,Yarmouth-Dennis
280.0,2025-02-16,15:45:18.30,4.0,4.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Morales, Efrain",1000115748.0,Right,OLD_MON,Undefined,8,Top,1,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.77584,-0.129305,0.553437,2436.48954,78.856157,8:45,5.82724,1.11564,5.43195,-48.78203,-2.45516,-22.41552,1.64097,-0.234,70.93186,-9.090929,-3.445373,0.489878,,,,,,,,,,,,11.38379,-0.55354,-1.14905,50.0,5.78293,-0.17659,-115.40604,-1.95509,14.74694,29.35937,-32.89111,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,ee1cdd10-eca6-11ef-9d96-6b412e18465d,76.94251,,,8.84398,,,,,,,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:45:18.30,2025-02-16 20:45:18.306150400+00:00,2025-02-16 20:45:18.306150400+00:00,,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,22f3a642-5fb7-486b-aba2-40c79c7a2993,55.0628,-116.68691,14.67969,5.83693,-0.52014,-16.44555,-1.12731,-0.81996,7.37347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-17,Yarmouth-Dennis
281.0,2025-02-16,15:45:38.02,4.0,5.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Morales, Efrain",1000115748.0,Right,OLD_MON,Undefined,8,Top,1,2,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.77379,0.491621,-0.66533,2402.813293,67.944475,8:15,5.91006,0.84716,5.60421,-51.23148,-7.56619,-22.24359,2.09975,-1.62759,73.8472,-8.846469,-4.643162,0.475598,,,,,,,,,,,,11.17489,-3.66918,-0.7751,50.0,5.91856,2.2247,-117.3079,-0.74744,15.37445,24.81482,-37.22213,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,f9d4bdd0-eca6-11ef-9d96-6b412e18465d,79.25281,,,6.92659,,,,,,,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:45:38.02,2025-02-16 20:45:38.027008+00:00,2025-02-16 20:45:38.027008+00:00,,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,1d52ca2f-5594-48cb-bd8e-b55e9cdc1f25,54.89834,-118.33954,12.40741,5.91746,0.80002,-18.61106,-0.8543,1.58554,7.68722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-17,Yarmouth-Dennis
282.0,2025-02-16,15:46:02.94,4.0,6.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Morales, Efrain",1000115748.0,Right,OLD_MON,Undefined,8,Top,1,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.52881,1.798933,-0.298216,2306.920005,81.774165,8:45,5.82596,0.97992,5.40332,-47.72396,-1.99622,-25.01781,3.53516,-1.38432,71.90116,-6.944172,-4.747386,0.4867,,,,,,,,,,,,12.36343,-1.05535,-0.93573,50.0,5.95338,1.63329,-115.28127,1.96178,16.3361,25.0558,-33.5685,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,08b1d360-eca7-11ef-9d96-6b412e18465d,77.44493,,,7.62766,,,,,,,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:46:02.94,2025-02-16 20:46:02.946355200+00:00,2025-02-16 20:46:02.946355200+00:00,,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,96a43614-6121-4818-9d8f-413a515a5eb0,55.09549,-116.38348,12.5279,5.8346,3.43846,-16.78425,-0.99177,0.91467,8.16805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-17,Yarmouth-Dennis
283.0,2025-02-16,15:46:23.63,4.0,7.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Morales, Efrain",1000115748.0,Right,OLD_MON,Undefined,8,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.25916,-0.769079,-2.496771,2349.386395,209.443422,1:00,6.048,0.76009,6.41992,-15.58064,17.94973,9.5489,4.04192,-0.74081,82.6121,-3.768564,-0.767983,0.416764,,,,,,,,,,,,-5.63772,9.8841,-0.58582,50.0,5.98562,5.33439,-131.14656,-2.15981,-9.84525,27.03492,-14.91331,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,15069060-eca7-11ef-9d96-6b412e18465d,90.44065,,,7.64706,,,,,,,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:46:23.63,2025-02-16 20:46:23.634483200+00:00,2025-02-16 20:46:23.634483200+00:00,,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,52b262b6-9f87-4f60-967f-784eae549c2d,54.07803,-131.98454,13.51746,6.0454,-1.69756,-7.45665,-0.75589,5.63956,-4.92262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-17,Yarmouth-Dennis
284.0,2025-02-16,15:46:52.42,5.0,1.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Holman, Evan",1000137670.0,Left,OLD_MON,Undefined,8,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.81432,-1.336093,-3.463482,1720.959021,260.880919,2:45,5.35355,1.3353,6.31429,-35.17526,4.68327,20.03674,1.18912,-0.18911,75.72779,-7.91258,0.160888,0.454393,,,,,,,,,,,,-11.55016,3.30945,-1.0906,50.0,5.23914,6.58817,-121.47343,-3.91058,-16.94658,27.80217,-27.31837,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,262cd2a0-eca7-11ef-9d96-6b412e18465d,82.95111,,,8.08653,,,,,,,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:46:52.42,2025-02-16 20:46:52.423116800+00:00,2025-02-16 20:46:52.423116800+00:00,,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,43ec2936-3725-4c62-b719-2e711fa4acbc,54.18394,-122.42728,13.90109,5.35723,-2.97333,-13.65919,-1.3266,7.16958,-8.47329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-17,Yarmouth-Dennis
285.0,2025-02-16,15:47:06.38,5.0,2.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Holman, Evan",1000137670.0,Left,OLD_MON,Undefined,8,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,83.73988,0.739129,-2.550079,1725.786267,267.494772,3:00,5.44077,1.26981,6.20586,-37.44447,1.87284,15.11875,3.00333,0.17443,76.786,-6.213365,0.178723,0.451298,80.42327,68.207019,-14.967383,,,,,121.06433,46.11327,-41.684548,5.691611,-8.59193,1.09465,-1.08591,50.0,5.47738,4.85679,-121.68554,0.39544,-12.88804,23.78606,-30.53208,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,2e79ea10-eca7-11ef-9d96-6b412e18465d,83.52009,136.62412,,6.95388,,,,1.88459,3.87349,-0.8374,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:47:06.38,2025-02-16 20:47:06.386329600+00:00,2025-02-16 20:47:06.386329600+00:00,Popup,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,d20a57bd-9d95-4d84-ad27-e201a9dc7cce,54.29524,-122.52225,11.89303,5.44458,1.46946,-15.26604,-1.26473,5.31015,-6.44402,,1.86698,42.5638,-17.66212,6.44533,-1.74763,0.31406,-0.02753,0.0001,0.0001,3.84604,110.02304,-30.30499,5.97182,-2.42773,0.79704,-0.15908,0.01658,-0.00069,-0.85344,-11.04934,-5.07142,3.21319,-1.33181,0.36573,-0.05954,0.00507,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,2025-02-17,Yarmouth-Dennis
286.0,2025-02-16,15:47:40.22,6.0,1.0,"Hernandez, Alex",1000247594.0,Right,GIT_YEL,"Waters, Luke",1000133970.0,Right,OLD_MON,Undefined,8,Top,2,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.14333,-0.019261,-2.527449,1704.520051,255.217824,2:30,5.44037,1.29074,6.24986,-33.92411,6.01052,17.93962,2.59559,0.4533,76.04136,-6.349464,0.713961,0.454827,99.352,5.810716,-44.339855,4435.329529,,,,93.49499,92.60203,-47.516692,0.708189,-10.09071,3.48595,-1.11165,50.0,5.4222,4.67036,-120.79665,-1.06685,-14.86593,24.17645,-27.03846,GIT_YEL,OLD_MON,GeorgiaTech,D1,ACC,20250216-GeorgiaTech-1,42adba70-eca7-11ef-9d96-6b412e18465d,82.87203,4.67223,,7.10197,,,,2.07543,2.76636,-0.50195,54ba0a7f-ae70-4473-8caa-88a33750d42b,2025-02-16,20:47:40.22,2025-02-16 20:47:40.221696+00:00,2025-02-16 20:47:40.221696+00:00,GroundBall,v3,100,3090,16 February 2025 13:00-olddom@gatech,"Lackey, Vahn",822518.0,Right,GIT_YEL,bd4d68c3-a163-4f0c-9319-31f366931241,54.25064,-121.64441,12.08823,5.44299,-0.11873,-13.51923,-1.28456,5.19164,-7.43297,,2.14939,102.2604,-22.91507,,,,,,,2.83945,13.34247,-24.6343,,,,,,,-0.48518,-101.6559,7.00409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,2025-02-17,Yarmouth-Dennis
